;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
1349;9.2;0.35;0.39;0.9;0.042;15.0;61.0;0.9924;2.96;0.28;10.4;4
2916;6.0;0.44;0.26;3.1;0.053;57.0;128.0;0.98982;3.22;0.39;12.7;6
4175;6.9;0.35;0.39;2.4;0.048;25.0;157.0;0.99133;3.2;0.54;11.1;7
2941;7.2;0.3;0.3;8.7;0.022;14.0;111.0;0.99576;3.11;0.61;10.6;5
1789;7.8;0.2;0.24;1.6;0.026;26.0;189.0;0.991;3.08;0.74;12.1;7
763;5.0;0.44;0.04;18.6;0.039;38.0;128.0;0.9985;3.37;0.57;10.2;6
3769;6.9;0.4;0.17;12.9;0.033;59.0;186.0;0.99754;3.08;0.49;9.4;5
64;7.2;0.24;0.27;1.4;0.038;31.0;122.0;0.9927;3.15;0.46;10.3;6
1437;8.2;0.18;0.49;1.1;0.033;28.0;81.0;0.9923;3.0;0.68;10.4;7
3773;5.0;0.61;0.12;1.3;0.009;65.0;100.0;0.9874;3.26;0.37;13.5;5
4372;7.1;0.23;0.23;3.5;0.038;23.0;112.0;0.99157;3.05;0.37;11.3666666667;6
822;6.8;0.18;0.21;5.4;0.053;34.0;104.0;0.99445;3.3;0.43;9.4;5
1144;7.2;0.25;0.32;1.5;0.047;27.0;132.0;0.9933;3.26;0.44;10.5;5
3931;6.2;0.3;0.28;1.6;0.036;28.0;106.0;0.988245;3.14;0.41;13.3;6
887;6.5;0.3;0.32;2.0;0.044;34.0;90.0;0.99185;3.37;0.68;11.0;7
147;6.4;0.595;0.14;5.2;0.058;15.0;97.0;0.9951;3.38;0.36;9.0;4
1994;7.0;0.28;0.33;14.6;0.043;47.0;168.0;0.9994;3.34;0.67;8.8;6
927;6.7;0.25;0.33;2.9;0.057;52.0;173.0;0.9934;3.02;0.48;9.5;7
1305;7.9;0.14;0.45;1.8;0.05;17.0;114.0;0.9948;3.33;0.49;10.7;7
142;7.9;0.21;0.4;1.2;0.039;38.0;107.0;0.992;3.21;0.54;10.8;6
1625;6.4;0.26;0.49;6.4;0.037;37.0;161.0;0.9954;3.38;0.53;9.7;6
407;6.9;0.49;0.24;1.2;0.049;13.0;125.0;0.9932;3.17;0.51;9.4;5
4106;5.3;0.23;0.56;0.9;0.041;46.0;141.0;0.99119;3.16;0.62;9.7;5
4587;8.0;0.33;0.35;10.0;0.035;22.0;108.0;0.99457;3.12;0.36;11.6;6
3107;7.7;0.25;0.49;2.5;0.047;31.0;169.0;0.99252;3.07;0.57;10.6;6
1648;7.1;0.3;0.49;1.6;0.045;31.0;100.0;0.9942;3.4;0.59;10.2;5
1067;7.5;0.19;0.34;2.6;0.037;33.0;125.0;0.9923;3.1;0.49;11.1;7
576;8.2;0.23;0.29;1.8;0.047;47.0;187.0;0.9933;3.13;0.5;10.2;6
1753;7.4;0.23;0.25;1.4;0.049;43.0;141.0;0.9934;3.42;0.54;10.2;7
3627;6.4;0.37;0.2;5.6;0.117;61.0;183.0;0.99459;3.24;0.43;9.5;5
3943;6.4;0.2;0.15;6.6;0.046;26.0;113.0;0.99408;2.99;0.58;9.9;6
264;6.2;0.24;0.35;1.2;0.038;22.0;167.0;0.9912;3.1;0.48;10.6;6
381;7.2;0.28;0.26;12.5;0.046;48.0;179.0;0.9975;3.1;0.52;9.0;6
313;5.7;0.36;0.21;6.7;0.038;51.0;166.0;0.9941;3.29;0.63;10.0;6
631;7.0;0.23;0.42;18.05;0.05;35.0;144.0;0.9999;3.22;0.42;8.8;5
2647;5.8;0.15;0.28;0.8;0.037;43.0;127.0;0.99198;3.24;0.51;9.3;5
2851;7.3;0.23;0.34;9.3;0.052;19.0;86.0;0.99574;3.04;0.56;10.0;5
1945;8.1;0.26;0.3;7.8;0.049;39.0;152.0;0.9954;2.99;0.58;10.0;6
3382;6.5;0.28;0.34;3.6;0.04;29.0;121.0;0.99111;3.28;0.48;12.1;7
