x1,x2,y
17.8961,11.8057,2
14.4254,27.8022,22
25.3412,13.9631,12
8.8272,11.0283,3
5.2116,27.6941,20
24.3752,24.4787,4
6.1247,10.6741,30
23.1194,5.621,25
12.1576,8.8249,19
16.9692,14.7612,14
25.677,5.9085,1
24.7064,24.3476,4
5.7406,22.066,5
26.6936,28.1863,23
16.7277,11.6654,2
21.1575,26.7005,7
10.5108,14.9912,16
27.6136,9.7426,6
20.6998,20.7688,15
26.6545,22.6042,24
5.115,19.7499,5
23.1953,15.7824,26
20.2375,20.0328,15
14.2115,25.9898,22
11.647,9.163,19
8.519,14.9751,16
25.884,27.9586,23
11.1134,22.0821,10
23.2505,5.1886,25
9.9197,20.4928,21
10.5315,24.9571,28
11.1778,14.3702,17
14.7451,24.9019,22
4.9218,20.019,5
12.912,13.878,17
16.5943,15.511,14
24.6305,6.8354,1
26.5349,21.9763,24
4.8781,9.5425,30
7.6726,22.1212,21
28.1817,10.8673,6
13.1627,26.8454,22
13.464,18.4964,8
21.0195,26.505,7
8.2729,11.1157,3
4.8758,16.5598,31
11.1502,8.1924,19
9.3125,15.1016,16
21.1322,19.8557,15
14.6807,25.7828,22
3.9742,10.1819,30
5.4117,11.0053,30
15.9664,9.991,13
24.6972,24.4442,4
5.7084,15.7893,31
11.3066,20.847,10
26.7051,10.3406,6
7.9118,9.0848,3
26.4084,15.2212,12
26.4015,24.6006,4
25.7598,9.3907,6
16.5276,15.1844,14
12.3117,13.7078,17
25.8311,18.0295,18
24.8513,24.4856,4
27.0708,10.8144,6
6.2535,16.4954,31
24.8858,14.3196,12
15.603,16.1619,14
22.9492,14.7543,26
4.8045,21.1989,5
16.615,12.0702,2
17.3441,15.2258,14
24.6696,26.8523,23
21.3783,11.8586,27
27.1628,16.73,18
13.1397,14.5427,17
22.9193,4.3583,25
15.7594,21.7693,29
9.8829,14.5289,16
15.1706,21.7762,29
4.9402,27.2088,20
23.3057,8.0613,11
17.6086,11.7206,2
22.4639,6.6353,11
9.1515,10.796,3
19.1335,26.298,9
26.4774,7.7416,1
16.4954,9.3907,13
14.2391,19.5521,8
26.1002,19.7499,24
23.6668,7.5024,25
4.4457,27.3008,20
5.4531,20.7067,5
18.8184,25.0537,9
20.7734,29.3754,7
23.5702,8.0889,11
27.6389,14.4967,12
22.7215,11.1134,27
7.806,22.0729,21
22.1994,11.6861,27
7.9624,16.04,16
22.9837,6.2075,25
22.4064,12.5371,27
7.3713,15.4029,16
25.3389,27.8574,23
16.4931,14.2437,14
23.2114,7.967,11
9.8829,8.772,19
14.3242,26.6568,22
26.0749,22.4961,24
4.7562,17.8777,31
16.661,16.3896,14
11.3595,14.3817,17
25.2216,27.1743,23
14.9153,18.1008,8
13.0017,6.6192,19
7.8704,16.086,16
6.3409,17.7857,31
24.8375,6.7871,11
22.9032,11.5274,27
11.4009,13.6963,17
6.5617,21.4841,21
10.98,8.9146,19
26.1899,28.0414,23
