index,x1,x2,y
1432,19.6211,19.1266,15
2942,4.8781,9.5425,30
2609,22.3903,11.2629,27
1799,25.7897,17.7328,18
1718,27.7378,16.9278,18
552,25.7598,10.5614,6
2707,10.9662,23.8646,28
2138,13.3881,26.1278,22
2063,8.1073,22.1235,21
2547,23.2321,15.0257,26
2622,23.2137,12.5578,27
2926,4.954,8.9307,30
2702,10.5499,23.9474,28
489,6.9987,21.7693,5
2085,8.8318,21.6129,21
1833,10.5384,8.1648,19
1764,27.2824,17.1394,18
2395,26.5372,23.3103,24
2559,22.1603,16.9531,26
1689,11.3595,14.3817,17
804,18.3354,26.1554,9
797,13.4939,18.3193,8
104,17.4867,10.6626,2
385,24.7248,24.1107,4
1299,15.5386,9.8139,13
1873,11.5458,7.3667,19
2307,27.2824,21.4749,24
2066,8.6041,21.3622,21
1393,15.2925,16.4195,14
787,13.1466,19.1312,8
1471,20.364,18.2457,15
2127,14.4691,25.2446,22
965,12.8844,22.0706,10
2164,14.6738,27.7746,22
800,18.2158,26.4751,9
2393,26.9006,21.261,24
717,12.9948,20.7136,8
762,14.5887,17.9467,8
1633,13.0132,14.1954,17
1654,11.3526,14.6301,17
349,23.2873,23.1148,4
1710,26.8891,17.0428,18
507,26.6361,9.784,6
2151,13.8021,26.9673,22
765,14.6002,18.57,8
618,21.0908,26.436,7
2829,14.6692,20.8608,29
1063,24.1935,8.6018,11
2691,21.8544,11.164,27
899,18.1491,25.7253,9
758,14.1448,17.9214,8
2494,21.2311,5.9867,25
2038,9.0733,21.3852,21
335,24.9433,24.0003,4
2696,22.963,11.9,27
248,10.1635,9.1239,3
1824,12.3025,7.9969,19
1671,11.6171,15.718,17
1068,22.5398,8.1211,11
1359,16.1067,14.4208,14
2128,15.6881,26.9742,22
2613,23.5541,13.1167,27
2814,15.8468,22.8572,29
1071,23.2482,9.738,11
2194,13.2501,26.5096,22
3089,5.8901,16.9393,31
5,24.0785,5.6693,1
1984,3.5556,26.9305,20
462,3.9604,21.5669,5
2186,13.4548,26.758,22
2522,23.0274,15.833,26
622,21.6037,28.2461,7
2515,21.7555,15.4144,26
1589,9.3125,15.1016,16
1965,4.7263,26.3716,20
240,9.5954,9.1469,3
121,18.6137,11.3802,2
2162,14.2368,26.9742,22
1,26.6614,7.3414,1
2695,23.1723,11.2399,27
308,23.3218,22.9584,4
2667,22.3673,13.2616,27
719,13.9447,17.88,8
2295,25.3711,28.2898,23
2885,14.8877,21.9073,29
2673,22.917,11.1272,27
2183,14.6807,25.7828,22
3053,5.9453,16.7967,31
2764,9.6276,24.3108,28
1809,11.7022,8.289,19
1750,27.0064,18.179,18
2431,21.5347,5.2714,25
188,17.6086,11.7206,2
533,26.7051,11.9782,6
1707,26.6246,18.0847,18
1189,25.8794,15.0211,12
434,5.3588,19.7062,5
